title,href
Editorial Seix Barral,/wiki/Editorial_Seix_Barral
Editorial Selecta,/wiki/Editorial_Selecta
Editorial Universal,/wiki/Editorial_Universal
Editorial Vizcaína,/wiki/Editorial_Vizca%C3%ADna
Editorial ZYX,/wiki/Editorial_ZYX
EDUMSA,/wiki/EDUMSA
Egales,/wiki/Egales
El Viejo Topo,/wiki/El_Viejo_Topo
EnCLAVE-ELE,/wiki/EnCLAVE-ELE
Ediciones Encuentro,/wiki/Ediciones_Encuentro
Equipo Sirius,/wiki/Equipo_Sirius
Espasa-Calpe,/wiki/Espasa-Calpe
Euredit,/wiki/Euredit
La Factoría de Ideas,/wiki/La_Factor%C3%ADa_de_Ideas
Editorial Ferma,/wiki/Editorial_Ferma
Fragmenta Editorial,/wiki/Fragmenta_Editorial
Fulgencio Pimentel,/wiki/Fulgencio_Pimentel
Editorial Funambulista,/wiki/Editorial_Funambulista
Fundación de los Ferrocarriles Españoles,/wiki/Fundaci%C3%B3n_de_los_Ferrocarriles_Espa%C3%B1oles
Fundación Federico Engels,/wiki/Fundaci%C3%B3n_Federico_Engels
Fundación Noguera,/wiki/Fundaci%C3%B3n_Noguera
G+J España,/wiki/G%2BJ_Espa%C3%B1a
Galaxia Gutenberg,/wiki/Galaxia_Gutenberg
Garbo Editorial,/wiki/Garbo_Editorial
Editorial Gedisa,/wiki/Editorial_Gedisa
Editorial Grafidea,/wiki/Editorial_Grafidea
Editorial Gredos,/wiki/Editorial_Gredos
Grupo Almuzara,/wiki/Grupo_Almuzara
Grupo editorial Mundos Épicos,/wiki/Grupo_editorial_Mundos_%C3%89picos
Grupo Editorial Sial Pigmalión,/wiki/Grupo_Editorial_Sial_Pigmali%C3%B3n
Grupo Océano,/wiki/Grupo_Oc%C3%A9ano
Grupo Santillana,/wiki/Grupo_Santillana
Grupo Siena (editorial),/wiki/Grupo_Siena_(editorial)
Grupo SM,/wiki/Grupo_SM
Grupo Tierra Trivium,/wiki/Grupo_Tierra_Trivium
Hauser y Menet,/wiki/Hauser_y_Menet
Ediciones Hiperión,/wiki/Ediciones_Hiperi%C3%B3n
Homo Legens,/wiki/Homo_Legens
Huerga y Fierro Editores,/wiki/Huerga_y_Fierro_Editores
Ikusager,/wiki/Ikusager
Editorial Impedimenta,/wiki/Editorial_Impedimenta
Impresora Bética,/wiki/Impresora_B%C3%A9tica
Ir Indo,/wiki/Ir_Indo
Isla de Siltolá,/wiki/Isla_de_Siltol%C3%A1
Ivorypress,/wiki/Ivorypress
