1993, cec director, , , Fernando Trueba
1994, cec director, , , Luis García Berlanga
1995, cec director, , , José Luis Garci
1996, cec director, , , Álex de la Iglesia
1997, cec director, , , Gracia Querejeta
1998, cec director, , , Montxo Armendáriz
1999, cec director, , , Fernando León de Aranoa
2000, cec director, , , Benito Zambrano
2001, cec director, , , José Luis Garci
2002, cec director, , , Alejandro Amenábar
2003, cec director, , , Fernando León de Aranoa
2004, cec director, , , Icíar Bollaín
2005, cec director, , , Gracia Querejeta
2006, cec director, , , Isabel Coixet
2007, cec director, , , Pedro Almodóvar
2008, cec director, , , Jaime Rosales
2009, cec director, , , Max Lemcke
2010, cec director, , , Daniel Monzón
2011, cec director, , , Icíar Bollaín
2012, cec director, , , Enrique Urbizu
2013, cec director, , , Pablo Berger
2014, cec director, , , Manuel Martín Cuenca
2015, cec director, , , Alberto Rodríguez
2016, cec director, , , Cesc Gay
2017, cec director, , , Alberto Rodríguez
2018, cec director, , , Isabel Coixet
2019, cec director, , , Rodrigo Sorogoyen
2020, cec director, , , Pedro Almodóvar
